"ttext","score","ANGER","DISGUST","FEAR","JOY","SADNESS","SURPRISE","BEST_FIT","polarity","date","source","retweetcount","favoritecount","location","city","country","language"
" amazon boa notícia sabíamos que o peixe tambaqui é resistente a desafios ambientais nesse nosso novo estudo descobrimos que é resistente também ao aumento do dióxido de carbono co na água ciência e amazônia contribuindo com a segurança alimentar t co sklj i io","2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18384","Twitter Web Client","0","0","Manaus, Amazonas",NA,NA,"Portuguese"
" amazônia faz anos que um desejo econômico colocou homens na floresta desconhecida era a construção da estrada de ferro madeira mamoré diz se que para cada dormente da estrada morreu um homem de malaria saúde e ambiente andam de mãos dadas t co gb bltiihe","-2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"negative","18376","Twitter Web Client","4","4","Manaus, Amazonas",NA,NA,"Portuguese"
"lar dos vicentinos um abrigo público para idosos em rio branco no acre acre riobranco photography photooftheday photo nordeste brazil idosos abrigo pretoebranco amazonia t co f e gftkkn","-2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18384","Twitter for Android","0","0","Natal, Brasil",NA,NA,"Portuguese"
" covid as lições dos yanomami a tragédia que se desdobra na amazônia ressoa o que todos os habitantes humanos do planeta estão sofrendo by bruce albert t co e a fqayx","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18384","Twitter for iPhone","0","0","Switzerland ",NA,NA,"Portuguese"
"o programa globalizando já está no ar sintonize na rádio unama fm faremos uma reprise do tema “colonialismo e colonialidade na amazônia” nos acompanhe pelo link t co uqvxschye programaglobalizando colonialidade colonialismo amazônia reprise","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"negative","18384","Twitter Web App","1","1","Amazônia - Brasil",NA,NA,"Portuguese"
"minha coluna publicada na nas edições impressa e digital do jornal a crítica de sábado colunasocial colunajulioventilari manaus amazonia jornalacritica anamariagarcia jandrreis patybrelaz… t co mv hh m aq","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18384","Instagram","0","0","Manaus, AM/Brasil","Manaus","Brazil","Portuguese"
"minha coluna publicada na nas edições impressa e digital do jornal a crítica de colunajulioventilari colunasocial manaus amazonia jornalacritica hiroya takano georgejapa … t co uhuu lunam","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18382","Instagram","0","0","Manaus, AM/Brasil","Manaus","Brazil","Portuguese"
"minha coluna publicada na nas edições impressa e digital do jornal a crítica de sábado colunasocial colunajulioventilari manaus amazonia jornalacritica dodoracavalcante raquelcavalcante pablocirino… t co x qdwkqsw","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18377","Instagram","0","0","Manaus, AM/Brasil","Manaus","Brazil","Portuguese"
"“golfinhos estão voltando para as águas da itália” enquanto isso na amazônia coronavirus coronavirusbrasil amazônia t co nqggvropc ","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18384","Twitter for iPhone","1","1","SP, Brasil",NA,NA,"Portuguese"
"o melhor sushi de manaus essa é a barca salmão fly ela é tão top que merece foco exclusivo chefãosushibar manaus amazonas amazonia sushi sushimanaus em manaus brazil t co qq lyaqjlf","2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","7.34083555412327","surprise","positive","18384","Instagram","1","1","#CriadordeVideo #Humor #Opnião","Manaus","Brazil","Portuguese"
"o melhor sushi de manaus essa é a barca salmão fly ela é tão que merece foco exclusivo chefaosushibar chefãosushibar manaus amazonas amazonia sushi sushimanaus em manaus brazil t co edeolsycdz","2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18384","Instagram","0","0","#CriadordeVideo #Humor #Opnião","Manaus","Brazil","Portuguese"
" é o folclore da nossa amazônia no pra lá pra cááá festadopovocaprichoso","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18384","Twitter for Android","0","0","Manaus, Brasil",NA,NA,"Portuguese"
"fiz a lenda da mandioca mandioca assim finalizando as três primeiras ilustrações do projeto novo illustration amazonia folclore digitalart t co dz ifjnriy","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18377","Twitter for Android","4","4","Boa Vista, Brasil",NA,NA,"Portuguese"
"ilustração botânica da mandioca macaxeira visitem a casa cordel de botanica illustration botanic botanicillustration botanica mandioca amazonia ilustraçãocientífica scienceillustration digialart instart t co zhunqz nam","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18382","Instagram","0","0","Boa Vista, Brasil",NA,NA,"Portuguese"
"fiz a victória régia gostaram e se vc já viu uma de perto comenta aí onde foi que vc viu e quando botanicalillustration botanic botanica illustration biologia amazonia scienceillustration t co bwrfzrbtor","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18384","Twitter for Android","1","1","Boa Vista, Brasil",NA,NA,"Portuguese"
"as queimadas na amazônia acabaram amazonia","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter Web App","0","0","Rio de Janeiro",NA,NA,"Portuguese"
"na sua revistatroppo deste domingo vais conferir uma entrevista exclusiva com gretchen casais se reinventam a quarentena e relatos de quem se curou da covid não perde fábio pamplona gretchen saúde relacionamento belem oliberal amazônia t co jrtfhok y ","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Etus Brasil","0","0","Belém, Pará, Brasil",NA,NA,"Portuguese"
"na sua revistatroppo deste domingo vais conferir uma entrevista exclusiva com letícia lima dicas de produtividade o home office e alunos estrangeiros contam sua experiência o brasil vinícius mochizuki leticialima homeoffice intercambio belem oliberal amazônia t co ds lflhn","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18376","Etus Brasil","0","0","Belém, Pará, Brasil",NA,NA,"Portuguese"
"amazônia ganha destaque inédito na ciência internacional recém criado painel científico para a amazônia compila todo o conhecimento já produzido sobre a maior floresta tropical do mundo ciência busca dar respostas para evitar avanço da destruição t co le jfcz","2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","2.78695866252273","sadness","positive","18378","Twitter for iPad","32","32","São Paulo, Brasil",NA,NA,"Portuguese"
" a vale entrou com um pedido de devolução de todos os requerimentos para pesquisa mineral em terras indígenas na amazônia que tem na agência nacional de mineração anm afirmou a acionistas o diretor executivo de finanças e relações com investidores t co s wdu yotx","2","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","positive","18383","Hootsuite Inc.","12","12","São Paulo, Brasil",NA,NA,"Portuguese"
"o papel de gado e soja no ciclo de desmatamento agricultura e pecuária pressionam a amazônia há décadas e são fruto do modelo adotado pelo regime militar para desenvolver a região que já perdeu área de floresta equivalente a mais de duas alemanhas t co gjbgcgewht","-2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18378","Hootsuite Inc.","17","17","São Paulo, Brasil",NA,NA,"Portuguese"
"mapa do espalhamento do coronavírus por municípios da amazônia legal mato grosso tocantins e acre parecem estar testando muito pouco t co rkgqnew d t co zjrghhkfyj","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18383","Twitter for iPad","6","6","São Paulo, Brasil",NA,NA,"Portuguese"
"cientistas mapeiam os desafios da amazônia para lidar com a pandemia e fazem um alerta a distância que impede comunidades remotas de acessar o sistema de saúde não as protege da ação de invasores coronavírus t co mu v a ck ","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"negative","18379","Twitter for iPad","6","6","São Paulo, Brasil",NA,NA,"Portuguese"
"imagens de satélite mostram probabilidade maior de incêndios na amazônia este ano grandes partes da amazônia estão mais secas que o normal gerando preocupações sobre um aumento ainda maior de incêndios e desmatamento na estação seca que se aproxima t co nsezihcnta","-1","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","positive","18383","Hootsuite Inc.","5","5","São Paulo, Brasil",NA,NA,"Portuguese"
"o desmatamento avança também sobre as terras indígenas em rondônia invasores interrompem ritual funerário de uru eu wau wau assassinado e deflagram a violência em uma das regiões mais desmatadas da amazônia t co gvlhxowckb","0","1.46871776464786","3.09234031207392","7.34083555412328","1.02547755260094","1.7277074477352","2.78695866252273","fear","positive","18380","Twitter Web App","14","14","São Paulo, Brasil",NA,NA,"Portuguese"
" não ceda à pressão contamos com o seu apoio para impedir que a mpdagrilagem seja mantida contamos com você para que a ilegalidade e a destruição da amazônia e do cerrado não prevaleçam diga mp nao t co hcfxuajhcq","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18381","Twitter Web App","1","1","São Paulo, Brasil",NA,NA,"Portuguese"
"cientistas alertam há décadas para o risco de novas doenças como consequência da destruição de florestas assim como a ásia origem do novo coronavírus a amazônia é vista como possível pólo de enfermidades t co ywo zs vx t co zftju sypj","3","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18378","Hootsuite Inc.","15","15","São Paulo, Brasil",NA,NA,"Portuguese"
" amazonia desmatamento garimpo povos indígenas via veja a reportagem completa no link t co ffdkzyhcz ","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18381","Twitter Web App","5","5","São Paulo, Brasil",NA,NA,"Portuguese"
"interior da amazônia está vulnerável à covid afirmam pesquisadores t co mu v a ck ","0","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18379","Twitter for iPad","10","10","São Paulo, Brasil",NA,NA,"Portuguese"
" queimadas na amazônia tendem a ser mais intensas este ano os alertas do corte seletivo e preliminar de árvores maiores apontam aumento significativo nos três primeiros meses de maior que em relação ao mesmo período de t co kveznquj k","3","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","neutral","18379","Hootsuite Inc.","2","2","São Paulo, Brasil",NA,NA,"Portuguese"
"ministério público federal requereu na justiça que sejam tomadas medidas imediatas contra destruidores da amazônia o pedido considera o fato que as infrações ambientais não pararam de crescer durante a pandemia da covid t co gmrukb vk","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"positive","18379","Hootsuite Inc.","14","14","São Paulo, Brasil",NA,NA,"Portuguese"
