"ttext","score","ANGER","DISGUST","FEAR","JOY","SADNESS","SURPRISE","BEST_FIT","POS","NEG","POS/NEG","BEST_FIT","date","source","retweetcount","favoritecount","location","city","country","language"
"dear brazil please get out of presidential chair as soon as possible he is a total disaster stopbolsonaro amazonforest coronavirus indigenouspeople","-1","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","7.34083555412328","7.34083555412327","joy","17.9196623384892","26.8423564950873","0.667589015210675","negative","18384","Twitter Web App","0","0","RT <U+2260> Like",NA,NA,"English"
" support for against deforarestation of amazonrainforest you can donate here t co ia yywv w t co nipup ofks","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"9.47547003995745","0.445453222112551","21.2715265477714","positive","18384","Crowdfire App","0","0","worldwide (via <U+0001F1EA><U+0001F1F8>)",NA,NA,"English"
" support for against deforarestation of amazonrainforest you can donate here t co ia yywv w t co q evp cjrh","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"9.47547003995745","0.445453222112551","21.2715265477714","positive","18381","Crowdfire App","0","0","worldwide (via <U+0001F1EA><U+0001F1F8>)",NA,NA,"English"
" support for against deforarestation of amazonrainforest you can donate here t co ia yywv w t co awynvxsrmg","1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"9.47547003995745","0.445453222112551","21.2715265477714","positive","18379","Crowdfire App","0","0","worldwide (via <U+0001F1EA><U+0001F1F8>)",NA,NA,"English"
"impeach the eco terrorist now amazonfires t co kvjk ehlgx","-1","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273",NA,"8.78232285939751","9.47547003995745","0.926848253686942","negative","18384","Twitter for iPhone","0","0","",NA,NA,"English"
"helping customers to get their stuff in the right time while we are amazon amazonvestlife ensure we also taking care of ourselves deliveringsmiles amazonlife amazonvestlife amazonian onlineshopping… t co xhqdfvoz ","2","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","7.34083555412328","7.34083555412327","joy","24.2844130953411","18.5054868578024","1.3122817725329","neutral","18379","Instagram","0","0","Glendale, Arizona, USA","Phoenix","United States","English"
"watching murder to mercy the cyntoia brown story while waiting for my morning shift amazon amazonvestlife cyntoiabrown netflix amazonian amazon aza t co baocn rk ","0","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","9.47547003995745","8.78232285939751","1.07892526745566","neutral","18384","Instagram","0","0","Glendale, Arizona, USA","Phoenix","United States","English"
"the amazonrainforest alone holds of the world’s plant species making it the largest collector of plants in the world when we support initiatives that protect rainforests we protect everything rainforests hold pc alfred runow flowers plantsoftheamazon conservation t co jst b l","3","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","25.670707456461","0.445453222112551","57.6282899800754","positive","18381","Hootsuite Inc.","4","4","Austin, TX",NA,NA,"English"
"did you know that a hummingbird heart beats over times per min this weeklywallpaper reminds us to take notice of our own heartbeats and pay attention to what our bodies need to keep us going and hold us steady pc martin edström birdsoftheamazon amazonrainforest t co u qjasxgc","1","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","7.34083555412327","joy","32.7286053938729","17.8123396772424","1.83741192829867","neutral","18380","Hootsuite Inc.","0","0","Austin, TX",NA,NA,"English"
" indigenouspeoples in the amazon continue to face an enormous threat from coronavirus between lack of access to good health care and lifestyles that depend on closeness and community exposure to a virus could be detrimental to their survival covid amazonrainforest t co fvczcmm mf","-2","1.46871776464786","3.09234031207392","2.06783599555953","19.9715515571679","1.7277074477352","2.78695866252273","joy","48.2306956298165","44.9023901307771","1.0741231255028","neutral","18382","Hootsuite Inc.","0","0","Austin, TX",NA,NA,"English"
